IDT,FGAWAY,3PTAWAY,FTAWAY,OREBAWAY,DREBAWAY,REBAWAY,ASTAWAY,STLAWAY,BLKAWAY,TOAWAY,PFAWAY,PTSAWAY,FGHOME,3PTHOME,FTHOME,OREBHOME,DREBHOME,REBHOME,ASTHOME,STLHOME,BLKHOME,TOHOME,PFHOME,PTSHOME
401468018,42-86,11-30,14-19,10,38,48,21,5,5,18,24,109,40-94,14-38,19-24,12,29,41,31,11,4,12,21,113
401468019,42-92,11-31,19-24,14,39,53,21,5,10,16,19,114,39-97,15-42,14-21,12,30,42,21,7,5,15,20,107
401468020,42-98,9-35,14-15,15,39,54,25,4,3,15,20,107,45-90,7-25,20-24,4,34,38,30,12,5,9,18,117
401468021,50-102,12-26,18-25,21,40,61,31,9,4,12,21,130,40-89,10-33,18-24,9,30,39,22,10,10,16,25,108
401468022,41-93,13-36,21-28,12,34,46,23,12,6,14,26,116,37-80,12-28,22-28,8,38,46,21,6,2,19,24,108
401468023,38-77,10-28,19-23,6,32,38,25,5,5,17,21,105,36-86,13-30,23-32,12,29,41,19,15,4,13,23,108
401468024,44-109,9-37,15-18,18,36,54,28,7,5,12,26,112,42-108,17-50,14-23,20,44,64,27,6,7,13,17,115
401468025,38-99,14-45,18-22,16,41,57,22,6,6,13,26,108,39-94,10-38,27-33,14,41,55,25,6,5,14,21,115
401468026,48-94,13-29,20-23,14,37,51,26,7,10,15,20,129,40-99,7-34,15-21,14,30,44,22,8,8,15,19,102
401468027,40-83,5-22,17-18,10,25,35,21,10,3,21,23,102,42-83,16-38,23-31,11,32,43,27,10,1,19,21,123
401468028,35-75,14-35,21-34,5,35,40,17,6,4,12,22,105,40-85,8-22,19-22,8,32,40,25,4,5,12,29,107
401468029,39-88,11-28,26-33,11,33,44,20,11,2,11,17,115,39-85,17-44,13-19,4,37,41,27,8,5,15,25,108
401468170,34-84,13-42,9-14,7,41,48,24,4,6,12,16,90,36-83,5-24,11-13,6,38,44,17,6,5,10,14,88
401468171,37-80,9-29,20-31,10,48,58,18,7,7,22,24,103,33-94,9-45,22-26,8,30,38,23,13,5,10,24,97
401468172,42-89,8-22,32-37,15,38,53,23,9,7,15,14,124,44-97,13-34,11-14,11,26,37,30,9,4,13,24,112
401468173,44-81,17-31,32-44,7,30,37,34,9,4,17,22,137,51-104,11-35,21-22,14,28,42,32,8,6,16,34,134
401468174,33-79,7-27,27-33,10,28,38,19,8,3,13,15,100,41-80,10-26,10-11,5,34,39,26,8,8,16,22,102
401468175,33-80,8-34,24-30,10,34,44,16,9,7,19,19,98,40-89,13-31,15-16,9,37,46,26,10,2,17,22,108
401468176,41-84,11-28,12-18,8,33,41,25,9,4,13,21,105,38-80,13-35,20-29,13,31,44,26,3,13,13,19,109
401468177,41-79,14-33,15-15,12,31,43,17,4,11,19,23,111,42-92,8-26,12-15,11,25,36,23,8,3,9,18,104
401468178,39-90,9-36,19-32,13,36,49,26,6,2,15,21,106,50-95,16-38,14-22,11,39,50,29,4,6,12,26,130
