IDT,Date,Team1,loc1,Score1,Team2,loc2,Score2,AwayQ1,AwayQ2,AwayQ3,AwayQ4,HomeQ1,HomeQ2,HomeQ3,HomeQ4
401468018,2022-10-19,Magic,Away,109,Pistons,Home,113,28,27,28,26,17,40,34,22
401468019,2022-10-19,Wizards,Away,114,Pacers,Home,107,36,24,27,27,25,27,25,30
401468020,2022-10-19,Rockets,Away,107,Hawks,Home,117,20,30,30,27,26,33,25,33
401468021,2022-10-19,Pelicans,Away,130,Nets,Home,108,32,26,40,32,14,36,28,30
401468022,2022-10-19,Bulls,Away,116,Heat,Home,108,28,31,37,20,33,26,27,22
401468023,2022-10-19,Cavaliers,Away,105,Raptors,Home,108,22,35,27,21,28,23,25,32
401468024,2022-10-19,Knicks,Away,112,Grizzlies,Home,115,23,23,33,29,25,36,24,23
401468025,2022-10-19,Thunder,Away,108,Timberwolves,Home,115,22,30,35,21,35,30,22,28
401468026,2022-10-19,Hornets,Away,129,Spurs,Home,102,38,30,30,31,22,25,28,27
401468027,2022-10-19,Nuggets,Away,102,Jazz,Home,123,30,23,27,22,37,38,19,29
401468028,2022-10-19,Mavericks,Away,105,Suns,Home,107,32,30,19,24,24,21,31,31
401468029,2022-10-19,"Trail Blazers",Away,115,Kings,Home,108,32,19,33,31,23,32,29,24
401468170,2022-10-20,Bucks,Away,90,76ers,Home,88,30,17,26,17,24,21,18,25
401468171,2022-10-20,Clippers,Away,103,Lakers,Home,97,35,21,29,18,23,33,21,20
401468172,2022-10-21,Pelicans,Away,124,Hornets,Home,112,35,26,32,31,24,27,34,27
401468173,2022-10-21,Spurs,Away,137,Pacers,Home,134,36,34,32,35,26,29,30,49
401468174,2022-10-21,Bulls,Away,100,Wizards,Home,102,30,20,24,26,26,30,21,25
401468175,2022-10-21,Magic,Away,98,Hawks,Home,108,27,27,27,17,19,31,30,28
401468176,2022-10-21,Raptors,Away,105,Nets,Home,109,24,28,27,26,28,21,29,31
401468177,2022-10-21,Celtics,Away,111,Heat,Home,104,30,29,30,22,22,29,26,27
401468178,2022-10-21,Pistons,Away,106,Knicks,Home,130,20,32,29,25,30,42,31,27
401468179,2022-10-21,Grizzlies,Away,129,Rockets,Home,122,26,36,33,34,32,38,30,22
401468180,2022-10-21,Jazz,Away,132,Timberwolves,Home,126,26,29,33,32,41,23,23,33
401468181,2022-10-21,Nuggets,Away,128,Warriors,Home,123,40,30,28,30,34,18,36,35
401468182,2022-10-21,Suns,Away,111,"Trail Blazers",Home,113,28,25,26,23,25,22,28,27
401468183,2022-10-22,Spurs,Away,114,76ers,Home,105,19,35,31,29,25,26,26,28
